country_code,cover,duration,id,item_id,item_url,region,title,desc,create_time,author_user_id,music_author,music_title,music_create_time,music_duration,music_id,collect_count,comment_count,digg_count,play_count,share_count,video_url,video_length_sec,has_caption,combined_text,text_length,word_count,sentiment,subjectivity,creator_user_id,is_top_creator,follower_cnt,liked_cnt,play_count_per_view,digg_count_per_view,comment_count_per_view,share_count_per_view,collect_count_per_view,engagement_score,is_original_sound,music_age_days,creator_avg_play_count,creator_avg_digg_count,song_rank,is_trending_song,song_trend_value,all_hashtags,has_top_hashtag,num_hashtags,has_trending_keyword,upload_hour,upload_dayofweek,upload_month,days_since_upload,is_trending,predicted_trending,is_trending_24h,is_trending_7d,predicted_24h,predicted_7d
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/ooadQygjrIeuHJGeDnALnYAbQe7TOzICxJp9iA~tplv-noop.image?x-expires=1748723418&x-signature=xiaBjXcht8UpCQuLMcg%2B1tqotx8%3D,91,7435853872062549256,7435853872062549256,https://www.tiktok.com/@mnm_pipi/video/7435853872062549256,Malaysia,#blondesbarbershop ,#blondesbarbershop ,2024-11-11 03:10:48,6.86431916851572e+18,AufaBlondz,original sound - aufablondz,2024-11-11 03:11:09,91,7.435853980192394e+18,16948,604,77705,16087817,7044,https://www.tiktok.com/@mnm_pipi/video/7435853872062549256,91,1,#blondesbarbershop  #blondesbarbershop ,39,2,0.0,0.0,6.86431916851572e+18,0,0.0,0.0,0.9999999378411664,0.0048300521549908,3.7543935417469296e-05,0.0004378468229812,0.0010534679096941,34366.8,1,0.0,16087817.0,77705.0,100.0,0,0.0,"['blondesbarbershop', 'blondesbarbershop']",0,2,0,3.0,0.0,11.0,207.0,1,1,0,1,0,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/oIsiqLz0Iz9CqunAY4ABfAOIa1AiCsBw9quzIm~tplv-noop.image?x-expires=1748723361&x-signature=4xsa%2FI5ld0BH3ks4y6g0wnRp5TI%3D,40,7437746696089586951,7437746696089586951,https://www.tiktok.com/@mnm_pipi/video/7437746696089586951,Malaysia,"This is my go-to shower ritual with Herbal Essences Argan Oil .  Not only does it make my hair soft and shiny, but it also leaves me feeling absolutely amazing with real plant essence.  Free from parabens, paraffins, and colourant. You should give it a try and get yours at @watson store.  #HerbalEssencesMY #WatsonsMY #Hairtok  #HairTransformation #GlassHair #AD","This is my go-to shower ritual with Herbal Essences Argan Oil .  Not only does it make my hair soft and shiny, but it also leaves me feeling absolutely amazing with real plant essence.  Free from parabens, paraffins, and colourant. You should give it a try and get yours at @watson store.  #HerbalEssencesMY #WatsonsMY #Hairtok  #HairTransformation #GlassHair #AD",2024-11-16 12:01:36,6.779430306170602e+18,NOPPO MUSIC,A warm piano instrumental ballad(808701),2020-06-17 18:20:41,204,6.839383378953767e+18,2527,55,27687,20423971,883,https://www.tiktok.com/@mnm_pipi/video/7437746696089586951,40,1,"This is my go-to shower ritual with Herbal Essences Argan Oil .  Not only does it make my hair soft and shiny, but it also leaves me feeling absolutely amazing with real plant essence.  Free from parabens, paraffins, and colourant. You should give it a try and get yours at @watson store.  #HerbalEssencesMY #WatsonsMY #Hairtok  #HairTransformation #GlassHair #AD This is my go-to shower ritual with Herbal Essences Argan Oil .  Not only does it make my hair soft and shiny, but it also leaves me feeling absolutely amazing with real plant essence.  Free from parabens, paraffins, and colourant. You should give it a try and get yours at @watson store.  #HerbalEssencesMY #WatsonsMY #Hairtok  #HairTransformation #GlassHair #AD",727,116,0.26,0.6699999999999999,6.779430306170602e+18,0,0.0,0.0,0.9999999510379274,0.0013556129042871,2.692913993419106e-06,4.323351011252855e-05,0.0001237271574794,11520.600000000002,0,0.0,20423971.0,27687.0,100.0,0,0.0,"['herbalessencesmy', 'watsonsmy', 'hairtok', 'hairtransformation', 'glasshair', 'ad', 'herbalessencesmy', 'watsonsmy', 'hairtok', 'hairtransformation', 'glasshair', 'ad']",0,12,0,12.0,5.0,11.0,201.0,0,0,0,1,0,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o4yJAeDF5QOVFrJlB4fCjP3JejqWEQIGAEDyCI~tplv-noop.image?x-expires=1748723370&x-signature=TZ0yRbi%2Ba5B4iwWrXoZPy3T7qVY%3D,28,7456001517217254663,7456001517217254663,https://www.tiktok.com/@mnm_pipi/video/7456001517217254663,Malaysia,Puas hati tak perlu susah cabut atau mesin rumput dah #racunrumput #racunrumputlalang #rumput #racun ,Puas hati tak perlu susah cabut atau mesin rumput dah #racunrumput #racunrumputlalang #rumput #racun ,2025-01-04 10:13:57,7.099697785826313e+18,HezMusic,original sound - hezronhenrry,2022-03-15 07:30:43,60,7.075226058198388e+18,7290,834,24294,17362615,7409,https://www.tiktok.com/@mnm_pipi/video/7456001517217254663,28,1,Puas hati tak perlu susah cabut atau mesin rumput dah #racunrumput #racunrumputlalang #rumput #racun  Puas hati tak perlu susah cabut atau mesin rumput dah #racunrumput #racunrumputlalang #rumput #racun ,203,28,0.0,0.0,7.099697785826313e+18,0,0.0,0.0,0.9999999424049923,0.0013992131139685,4.803423631554139e-05,0.0004267214111053,0.0004198676052041,12178.600000000002,1,0.0,17362615.0,24294.0,100.0,0,0.0,"['racunrumput', 'racunrumputlalang', 'rumput', 'racun', 'racunrumput', 'racunrumputlalang', 'rumput', 'racun']",0,8,0,10.0,5.0,1.0,152.0,0,0,0,0,0,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/oEL5pVPKB3AiP3dc3ELxR6FIBZIRI1YA5CpiV~tplv-noop.image?x-expires=1748723366&x-signature=GJgVjRaY6N%2FxGPURles56VAU4YU%3D,39,7456403550860561671,7456403550860561671,https://www.tiktok.com/@mnm_pipi/video/7456403550860561671,Malaysia,"Choose your fighter! Deodorant or Perfume? 😎 For me, I mestilah akan pilih NIVEA Pearl & Beauty Fine Fragrance! ✨ Bau parfum eksklusifnya bukannya sekadar wangi tau, ia tahan seharian juga! Plusss ia juga boleh mencerahkan kulit bawah lengan korang sehingga 5X! Tak perlu pun pakai perfume dah lepas ni, cubalah sekarang! 🩵 #myNIVEA","Choose your fighter! Deodorant or Perfume? 😎 For me, I mestilah akan pilih NIVEA Pearl & Beauty Fine Fragrance! ✨ Bau parfum eksklusifnya bukannya sekadar wangi tau, ia tahan seharian juga! Plusss ia juga boleh mencerahkan kulit bawah lengan korang sehingga 5X! Tak perlu pun pakai perfume dah lepas ni, cubalah sekarang! 🩵 #myNIVEA",2025-01-05 12:14:03,75514846835.0,Syazaayusof ᥫ᭡,original sound - syazaayusof,2025-01-05 12:14:35,39,7.456403702498905e+18,4841,354,83387,20023623,2269,https://www.tiktok.com/@mnm_pipi/video/7456403550860561671,39,1,"Choose your fighter! Deodorant or Perfume? 😎 For me, I mestilah akan pilih NIVEA Pearl & Beauty Fine Fragrance! ✨ Bau parfum eksklusifnya bukannya sekadar wangi tau, ia tahan seharian juga! Plusss ia juga boleh mencerahkan kulit bawah lengan korang sehingga 5X! Tak perlu pun pakai perfume dah lepas ni, cubalah sekarang! 🩵 #myNIVEA Choose your fighter! Deodorant or Perfume? 😎 For me, I mestilah akan pilih NIVEA Pearl & Beauty Fine Fragrance! ✨ Bau parfum eksklusifnya bukannya sekadar wangi tau, ia tahan seharian juga! Plusss ia juga boleh mencerahkan kulit bawah lengan korang sehingga 5X! Tak perlu pun pakai perfume dah lepas ni, cubalah sekarang! 🩵 #myNIVEA",665,108,1.0,0.5,75514846835.0,0,0.0,0.0,0.9999999500589904,0.0041644309741333,1.7679117426495822e-05,0.0001133161509624,0.0002417644278578,34398.9,1,0.0,20023623.0,83387.0,100.0,0,0.0,"['mynivea', 'mynivea']",0,2,0,12.0,6.0,1.0,151.0,1,1,0,1,0,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/ow4DeD4qntB4awWbBiFEgcDoErARa1HQQlfoUY~tplv-noop.image?x-expires=1748723346&x-signature=agpnbewVaSYb4QSpwveVoezM1SU%3D,15,7470776603266649361,7470776603266649361,https://www.tiktok.com/@mnm_pipi/video/7470776603266649361,Malaysia,10 hari je dah nmpk kesan 😍👍🏻  #lglutathione #vitamingummies #whitening #raya ,10 hari je dah nmpk kesan 😍👍🏻  #lglutathione #vitamingummies #whitening #raya ,2025-02-13 05:49:25,6.566452619166368e+18,D A N I A🦋✨,original sound - d.qistinaaa,2025-02-13 05:49:34,15,7.47077680467408e+18,74131,3184,275789,26907579,22313,https://www.tiktok.com/@mnm_pipi/video/7470776603266649361,15,1,10 hari je dah nmpk kesan 😍👍🏻  #lglutathione #vitamingummies #whitening #raya  10 hari je dah nmpk kesan 😍👍🏻  #lglutathione #vitamingummies #whitening #raya ,157,22,0.0,0.0,6.566452619166368e+18,0,0.0,0.0,0.9999999628357512,0.0102494910356115,0.0001183309684482,0.0008292458853601,0.0027550229340579,123146.5,1,0.0,26907579.0,275789.0,100.0,0,0.0,"['lglutathione', 'vitamingummies', 'whitening', 'raya', 'lglutathione', 'vitamingummies', 'whitening', 'raya']",0,8,0,5.0,3.0,2.0,113.0,1,1,0,1,0,1
MY,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-85c255c799-us/oADdNLygIg7QArZ3gMebERZJDcFePGk8HEibCf~tplv-noop.image?x-expires=1748723334&x-signature=GhT8BlnQ0CGPk6QjnEYMQc%2BRvbQ%3D,17,7472319430572182826,7472319430572182826,https://www.tiktok.com/@mnm_pipi/video/7472319430572182826,Malaysia,phone case inspo ❤️🦋🎀 #temufinds #phonecases,phone case inspo ❤️🦋🎀 #temufinds #phonecases,2025-02-17 09:37:51,7.277133862680528e+18,temu_techfinds,original sound - temu_techfinds,2025-02-17 09:37:54,17,7.4723198778486e+18,25521,9582,418805,262711052,17255,https://www.tiktok.com/@mnm_pipi/video/7472319430572182826,17,1,phone case inspo ❤️🦋🎀 #temufinds #phonecases phone case inspo ❤️🦋🎀 #temufinds #phonecases,89,12,0.0,0.0,7.277133862680528e+18,0,0.0,0.0,0.9999999961935366,0.0015941658914518,3.647353200628373e-05,6.56805254402448e-05,9.714475165230296e-05,176399.7,1,0.0,188150357.0,352747.5,100.0,0,0.0,"['temufinds', 'phonecases', 'temufinds', 'phonecases']",0,4,0,9.0,0.0,2.0,109.0,1,1,0,1,1,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/owLeQVcejPIeVoDTCDG2k8Lrh8IdAArQViv0QI~tplv-noop.image?x-expires=1748723363&x-signature=Zb6KkYV1lR5T50m9szverz%2FPHHg%3D,36,7474673334081391879,7474673334081391879,https://www.tiktok.com/@mnm_pipi/video/7474673334081391879,Malaysia,Replying to @user31875707301180 ,Replying to @user31875707301180 ,2025-02-23 17:50:14,7.16237674776486e+18,furufuru,3 minutes cooking song(863632),2020-09-17 18:03:36,150,6.873518662561565e+18,15506,1884,75534,30820634,13552,https://www.tiktok.com/@mnm_pipi/video/7474673334081391879,36,1,Replying to @user31875707301180  Replying to @user31875707301180 ,65,6,0.0,0.0,7.16237674776486e+18,0,0.0,0.0,0.9999999675542052,0.0024507606673256,6.112787747559387e-05,0.0004397054116503,0.0005031044947646,35039.8,0,0.0,30820634.0,75534.0,100.0,0,0.0,[],0,0,0,17.0,6.0,2.0,102.0,1,1,0,1,0,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/oUDqKPeCwpdEEeFrgCQE67Ao9zAfMbv3FtdIrD~tplv-noop.image?x-expires=1748723359&x-signature=Trn7vLo%2BFrbuIf%2BKc65WKi6rThM%3D,42,7474827324513389841,7474827324513389841,https://www.tiktok.com/@mnm_pipi/video/7474827324513389841,Malaysia,Korang wajib cuba hacks anti-gagal ni! 🤯 Jangan lupa order guna Hot Deals untuk dapat diskaun sehingga RM12  😋🍗,Korang wajib cuba hacks anti-gagal ni! 🤯 Jangan lupa order guna Hot Deals untuk dapat diskaun sehingga RM12  😋🍗,2025-02-24 03:48:17,6.804701946541934e+18,GrabMY,original sound - grabmy,2025-02-24 03:48:21,42,7.474827501949521e+18,163,447,42605,36563984,3934,https://www.tiktok.com/@mnm_pipi/video/7474827324513389841,42,1,Korang wajib cuba hacks anti-gagal ni! 🤯 Jangan lupa order guna Hot Deals untuk dapat diskaun sehingga RM12  😋🍗 Korang wajib cuba hacks anti-gagal ni! 🤯 Jangan lupa order guna Hot Deals untuk dapat diskaun sehingga RM12  😋🍗,223,38,0.28125,0.8500000000000001,6.804701946541934e+18,0,0.0,0.0,0.9999999726506834,0.0011652176315026,1.2225144496695314e-05,0.0001075922112975,4.45793859722894e-06,17979.199999999997,1,0.0,30548396.0,28850.5,100.0,0,0.0,[],0,0,0,3.0,0.0,2.0,102.0,0,0,1,1,1,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o0iZf3QAgbAL8Ie5L7M30fehtOGSMKsgqDW91f~tplv-noop.image?x-expires=1748723356&x-signature=BqSKGdLwvY5ueYztDC3CId8c9L8%3D,35,7475960754756160776,7475960754756160776,https://www.tiktok.com/@mnm_pipi/video/7475960754756160776,Malaysia,怎样才叫无与伦比的享受，喏，浓厚馥郁的咖喱，Q弹有嚼劲的面条，小口吃，大口吃，都超爽无比！Maggi Kari，解馋又开胃，我随时常备 ,怎样才叫无与伦比的享受，喏，浓厚馥郁的咖喱，Q弹有嚼劲的面条，小口吃，大口吃，都超爽无比！Maggi Kari，解馋又开胃，我随时常备 ,2025-02-27 05:05:59,7.358676015813723e+18,MAGGI Malaysia,original sound - maggimalaysia,2025-02-27 05:06:11,35,7.475960816773205e+18,4497,1327,61000,17609435,3477,https://www.tiktok.com/@mnm_pipi/video/7475960754756160776,35,1,怎样才叫无与伦比的享受，喏，浓厚馥郁的咖喱，Q弹有嚼劲的面条，小口吃，大口吃，都超爽无比！Maggi Kari，解馋又开胃，我随时常备  怎样才叫无与伦比的享受，喏，浓厚馥郁的咖喱，Q弹有嚼劲的面条，小口吃，大口吃，都超爽无比！Maggi Kari，解馋又开胃，我随时常备 ,137,4,0.0,0.0,7.358676015813723e+18,0,0.0,0.0,0.9999999432122642,0.003464051886727,7.535732547027628e-05,0.0001974509575434,0.0002553744481083,25943.2,1,0.0,13567590.0,42383.5,100.0,0,0.0,[],0,0,0,5.0,3.0,2.0,99.0,1,1,1,1,1,1
MY,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o8YiY8ma9AfMMkkgIgRQAnKgkMGWgf0efbeUDM~tplv-noop.image?x-expires=1748723405&x-signature=Z6m1KmQGo%2B88%2FrPxVVvhR1Vnf4Y%3D,88,7477844770799291655,7477844770799291655,https://www.tiktok.com/@mnm_pipi/video/7477844770799291655,Malaysia,"Kalau tak buat, mana tau kan? Inilah tip2 daripada Kak Sue kalau korang nak start somewhere in business. And kepada orang yang cakap internet aku lag, tak payah nak complain dah sebab semua thanks to CelcomDigi Business 5G Wifi 💁‍♀️ #Celcomdigibusiness #CelcomDigi #BusinessTips","Kalau tak buat, mana tau kan? Inilah tip2 daripada Kak Sue kalau korang nak start somewhere in business. And kepada orang yang cakap internet aku lag, tak payah nak complain dah sebab semua thanks to CelcomDigi Business 5G Wifi 💁‍♀️ #Celcomdigibusiness #CelcomDigi #BusinessTips",2025-03-04 06:56:56,1.777466767853691e+17,𝘿𝙞𝙢𝙚𝙣𝙨𝙞𝙑𝙞𝙗𝙚𝙨🎧,perayaan mati rasa,2024-04-11 19:59:41,103,7.356701636116876e+18,2070,78,28646,40215034,907,https://www.tiktok.com/@mnm_pipi/video/7477844770799291655,88,1,"Kalau tak buat, mana tau kan? Inilah tip2 daripada Kak Sue kalau korang nak start somewhere in business. And kepada orang yang cakap internet aku lag, tak payah nak complain dah sebab semua thanks to CelcomDigi Business 5G Wifi 💁‍♀️ #Celcomdigibusiness #CelcomDigi #BusinessTips Kalau tak buat, mana tau kan? Inilah tip2 daripada Kak Sue kalau korang nak start somewhere in business. And kepada orang yang cakap internet aku lag, tak payah nak complain dah sebab semua thanks to CelcomDigi Business 5G Wifi 💁‍♀️ #Celcomdigibusiness #CelcomDigi #BusinessTips",557,86,0.2,0.2,1.777466767853691e+17,0,0.0,0.0,0.9999999751336782,0.0007123206532084,1.939573097474613e-06,2.2553753838583006e-05,5.147328604836475e-05,11870.2,0,0.0,40215034.0,28646.0,100.0,0,0.0,"['celcomdigibusiness', 'celcomdigi', 'businesstips', 'celcomdigibusiness', 'celcomdigi', 'businesstips']",0,6,0,6.0,1.0,3.0,94.0,0,0,0,1,0,1
