hashtag_id,hashtag_name,country_info,industry_info,trend,creators,publish_cnt,video_views,rank,rank_diff,rank_diff_type
83683018,ejenali,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 25000000000, 'value': 'Games', 'label': 'label_25000000000'}","[{'date': 1746057600, 'value': 0.15}, {'date': 1746144000, 'value': 0.22}, {'date': 1746230400, 'value': 0.23}, {'date': 1746316800, 'value': 0.18}, {'date': 1746403200, 'value': 0.17}, {'date': 1746489600, 'value': 0.15}, {'date': 1746576000, 'value': 0.13}, {'date': 1746662400, 'value': 0.12}, {'date': 1746748800, 'value': 0.13}, {'date': 1746835200, 'value': 0.13}, {'date': 1746921600, 'value': 0.15}, {'date': 1747008000, 'value': 0.16}, {'date': 1747094400, 'value': 0.17}, {'date': 1747180800, 'value': 0.12}, {'date': 1747267200, 'value': 0.12}, {'date': 1747353600, 'value': 0.15}, {'date': 1747440000, 'value': 0.16}, {'date': 1747526400, 'value': 0.18}, {'date': 1747612800, 'value': 0.34}, {'date': 1747699200, 'value': 0.3}, {'date': 1747785600, 'value': 0.36}, {'date': 1747872000, 'value': 0.52}, {'date': 1747958400, 'value': 0.56}, {'date': 1748044800, 'value': 0.61}, {'date': 1748131200, 'value': 0.87}, {'date': 1748217600, 'value': 1}, {'date': 1748304000, 'value': 0.81}, {'date': 1748390400, 'value': 0.68}, {'date': 1748476800, 'value': 0.69}, {'date': 1748563200, 'value': 0.93}]",[],7013,257782256,1,0.0,2
15596763,inteam,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': '', 'value': '', 'label': ''}","[{'date': 1746057600, 'value': 0.02}, {'date': 1746144000, 'value': 0.02}, {'date': 1746230400, 'value': 0.02}, {'date': 1746316800, 'value': 0.01}, {'date': 1746403200, 'value': 0.02}, {'date': 1746489600, 'value': 0.02}, {'date': 1746576000, 'value': 0.01}, {'date': 1746662400, 'value': 0.01}, {'date': 1746748800, 'value': 0.02}, {'date': 1746835200, 'value': 0.01}, {'date': 1746921600, 'value': 0.02}, {'date': 1747008000, 'value': 0.02}, {'date': 1747094400, 'value': 0.01}, {'date': 1747180800, 'value': 0.02}, {'date': 1747267200, 'value': 0.02}, {'date': 1747353600, 'value': 0.01}, {'date': 1747440000, 'value': 0.02}, {'date': 1747526400, 'value': 0.03}, {'date': 1747612800, 'value': 0.02}, {'date': 1747699200, 'value': 0.02}, {'date': 1747785600, 'value': 0.07}, {'date': 1747872000, 'value': 0.17}, {'date': 1747958400, 'value': 0.61}, {'date': 1748044800, 'value': 0.59}, {'date': 1748131200, 'value': 0.53}, {'date': 1748217600, 'value': 0.66}, {'date': 1748304000, 'value': 0.79}, {'date': 1748390400, 'value': 0.91}, {'date': 1748476800, 'value': 1}, {'date': 1748563200, 'value': 0.95}]",[],8721,105791735,2,0.0,2
1675926704672769,ejenalithemovie2,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 25000000000, 'value': 'Games', 'label': 'label_25000000000'}","[{'date': 1746057600, 'value': 0.16}, {'date': 1746144000, 'value': 0.23}, {'date': 1746230400, 'value': 0.21}, {'date': 1746316800, 'value': 0.17}, {'date': 1746403200, 'value': 0.14}, {'date': 1746489600, 'value': 0.12}, {'date': 1746576000, 'value': 0.12}, {'date': 1746662400, 'value': 0.11}, {'date': 1746748800, 'value': 0.08}, {'date': 1746835200, 'value': 0.08}, {'date': 1746921600, 'value': 0.15}, {'date': 1747008000, 'value': 0.14}, {'date': 1747094400, 'value': 0.12}, {'date': 1747180800, 'value': 0.09}, {'date': 1747267200, 'value': 0.13}, {'date': 1747353600, 'value': 0.13}, {'date': 1747440000, 'value': 0.15}, {'date': 1747526400, 'value': 0.15}, {'date': 1747612800, 'value': 0.36}, {'date': 1747699200, 'value': 0.34}, {'date': 1747785600, 'value': 0.42}, {'date': 1747872000, 'value': 0.58}, {'date': 1747958400, 'value': 0.64}, {'date': 1748044800, 'value': 0.66}, {'date': 1748131200, 'value': 0.86}, {'date': 1748217600, 'value': 1}, {'date': 1748304000, 'value': 0.78}, {'date': 1748390400, 'value': 0.6}, {'date': 1748476800, 'value': 0.62}, {'date': 1748563200, 'value': 0.82}]",[],3254,137043338,3,0.0,2
17651,mermaid,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': '', 'value': '', 'label': ''}","[{'date': 1746057600, 'value': 0.07}, {'date': 1746144000, 'value': 0.08}, {'date': 1746230400, 'value': 0.09}, {'date': 1746316800, 'value': 0.1}, {'date': 1746403200, 'value': 0.07}, {'date': 1746489600, 'value': 0.08}, {'date': 1746576000, 'value': 0.1}, {'date': 1746662400, 'value': 0.08}, {'date': 1746748800, 'value': 0.08}, {'date': 1746835200, 'value': 0.08}, {'date': 1746921600, 'value': 0.11}, {'date': 1747008000, 'value': 0.1}, {'date': 1747094400, 'value': 0.12}, {'date': 1747180800, 'value': 0.11}, {'date': 1747267200, 'value': 0.08}, {'date': 1747353600, 'value': 0.09}, {'date': 1747440000, 'value': 0.09}, {'date': 1747526400, 'value': 0.11}, {'date': 1747612800, 'value': 0.27}, {'date': 1747699200, 'value': 0.1}, {'date': 1747785600, 'value': 0.22}, {'date': 1747872000, 'value': 0.31}, {'date': 1747958400, 'value': 0.56}, {'date': 1748044800, 'value': 0.7}, {'date': 1748131200, 'value': 0.76}, {'date': 1748217600, 'value': 1}, {'date': 1748304000, 'value': 0.92}, {'date': 1748390400, 'value': 0.91}, {'date': 1748476800, 'value': 0.88}, {'date': 1748563200, 'value': 0.87}]","[{'nick_name': 'suncllaire', 'avatar_url': 'https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2b43d7a2a94df17e0a82089150ee4151~tplv-tiktokx-cropcenter:100:100.png?dr=14579&refresh_token=1853a774&x-expires=1748872800&x-signature=pa1GltX71xlxLVr50z%2Fe4IOUbEQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=317596d8&idc=sg1'}]",6123,36758178,4,0.0,2
78598101,paidpartnership,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 25000000000, 'value': 'Games', 'label': 'label_25000000000'}","[{'date': 1746057600, 'value': 0.11}, {'date': 1746144000, 'value': 0.2}, {'date': 1746230400, 'value': 0.14}, {'date': 1746316800, 'value': 0.09}, {'date': 1746403200, 'value': 0.09}, {'date': 1746489600, 'value': 0.06}, {'date': 1746576000, 'value': 0.1}, {'date': 1746662400, 'value': 0.13}, {'date': 1746748800, 'value': 0.18}, {'date': 1746835200, 'value': 0.16}, {'date': 1746921600, 'value': 0.1}, {'date': 1747008000, 'value': 0.11}, {'date': 1747094400, 'value': 0.09}, {'date': 1747180800, 'value': 0.08}, {'date': 1747267200, 'value': 0.07}, {'date': 1747353600, 'value': 0.31}, {'date': 1747440000, 'value': 0.15}, {'date': 1747526400, 'value': 0.08}, {'date': 1747612800, 'value': 0.09}, {'date': 1747699200, 'value': 0.07}, {'date': 1747785600, 'value': 0.15}, {'date': 1747872000, 'value': 0.12}, {'date': 1747958400, 'value': 0.25}, {'date': 1748044800, 'value': 0.3}, {'date': 1748131200, 'value': 0.26}, {'date': 1748217600, 'value': 0.24}, {'date': 1748304000, 'value': 0.23}, {'date': 1748390400, 'value': 0.26}, {'date': 1748476800, 'value': 0.74}, {'date': 1748563200, 'value': 1}]","[{'nick_name': 'ff_dalary 💗✨', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7b1736eca902948f536bbd92966c8edb~tplv-tiktokx-cropcenter:100:100.png?dr=14579&refresh_token=6f2588a5&x-expires=1748872800&x-signature=9VDwbFULVIH7gjUmVjRCNuc6LG8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=317596d8&idc=sg1'}, {'nick_name': '怕水鱼🥰🥰🥰', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c902943b24d13e12c1a037714911c6e5~tplv-tiktokx-cropcenter:100:100.png?dr=14579&refresh_token=12bea53b&x-expires=1748872800&x-signature=KV6EkuJrhpyR5OOWT2PUcTDBYUk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=317596d8&idc=sg1'}]",5462,31751674,5,1.0,1
7442584908695863342,liveincentiveprogram,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': '', 'value': '', 'label': ''}","[{'date': 1746057600, 'value': 0.04}, {'date': 1746144000, 'value': 0.04}, {'date': 1746230400, 'value': 0.02}, {'date': 1746316800, 'value': 0.04}, {'date': 1746403200, 'value': 0.04}, {'date': 1746489600, 'value': 0.03}, {'date': 1746576000, 'value': 0.03}, {'date': 1746662400, 'value': 0.04}, {'date': 1746748800, 'value': 0.04}, {'date': 1746835200, 'value': 0.05}, {'date': 1746921600, 'value': 0.04}, {'date': 1747008000, 'value': 0.06}, {'date': 1747094400, 'value': 0.03}, {'date': 1747180800, 'value': 0.04}, {'date': 1747267200, 'value': 0.03}, {'date': 1747353600, 'value': 0.04}, {'date': 1747440000, 'value': 0.05}, {'date': 1747526400, 'value': 0.05}, {'date': 1747612800, 'value': 0.04}, {'date': 1747699200, 'value': 0.04}, {'date': 1747785600, 'value': 0.04}, {'date': 1747872000, 'value': 0.04}, {'date': 1747958400, 'value': 0.22}, {'date': 1748044800, 'value': 0.29}, {'date': 1748131200, 'value': 0.25}, {'date': 1748217600, 'value': 0.24}, {'date': 1748304000, 'value': 0.23}, {'date': 1748390400, 'value': 0.25}, {'date': 1748476800, 'value': 0.73}, {'date': 1748563200, 'value': 1}]","[{'nick_name': 'ff_dalary 💗✨', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7b1736eca902948f536bbd92966c8edb~tplv-tiktokx-cropcenter:100:100.png?dr=14579&refresh_token=6f2588a5&x-expires=1748872800&x-signature=9VDwbFULVIH7gjUmVjRCNuc6LG8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=317596d8&idc=sg1'}]",4063,24807600,6,10.0,1
13314485,pbakl,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 10000000000, 'value': 'Education', 'label': 'label_10000000000'}","[{'date': 1746057600, 'value': 0.22}, {'date': 1746144000, 'value': 0.23}, {'date': 1746230400, 'value': 0.24}, {'date': 1746316800, 'value': 0.27}, {'date': 1746403200, 'value': 0.23}, {'date': 1746489600, 'value': 0.26}, {'date': 1746576000, 'value': 0.26}, {'date': 1746662400, 'value': 0.25}, {'date': 1746748800, 'value': 0.23}, {'date': 1746835200, 'value': 0.25}, {'date': 1746921600, 'value': 0.25}, {'date': 1747008000, 'value': 0.23}, {'date': 1747094400, 'value': 0.29}, {'date': 1747180800, 'value': 0.27}, {'date': 1747267200, 'value': 0.33}, {'date': 1747353600, 'value': 0.34}, {'date': 1747440000, 'value': 0.39}, {'date': 1747526400, 'value': 0.35}, {'date': 1747612800, 'value': 0.35}, {'date': 1747699200, 'value': 0.37}, {'date': 1747785600, 'value': 0.42}, {'date': 1747872000, 'value': 0.45}, {'date': 1747958400, 'value': 0.52}, {'date': 1748044800, 'value': 0.81}, {'date': 1748131200, 'value': 0.94}, {'date': 1748217600, 'value': 1}, {'date': 1748304000, 'value': 0.92}, {'date': 1748390400, 'value': 0.9}, {'date': 1748476800, 'value': 0.94}, {'date': 1748563200, 'value': 0.96}]",[],4065,22586941,7,2.0,3
31431549,cutisekolah,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': '', 'value': '', 'label': ''}","[{'date': 1746057600, 'value': 0.24}, {'date': 1746144000, 'value': 0.26}, {'date': 1746230400, 'value': 0.21}, {'date': 1746316800, 'value': 0.2}, {'date': 1746403200, 'value': 0.18}, {'date': 1746489600, 'value': 0.17}, {'date': 1746576000, 'value': 0.22}, {'date': 1746662400, 'value': 0.2}, {'date': 1746748800, 'value': 0.19}, {'date': 1746835200, 'value': 0.2}, {'date': 1746921600, 'value': 0.22}, {'date': 1747008000, 'value': 0.25}, {'date': 1747094400, 'value': 0.29}, {'date': 1747180800, 'value': 0.27}, {'date': 1747267200, 'value': 0.3}, {'date': 1747353600, 'value': 0.23}, {'date': 1747440000, 'value': 0.26}, {'date': 1747526400, 'value': 0.25}, {'date': 1747612800, 'value': 0.25}, {'date': 1747699200, 'value': 0.26}, {'date': 1747785600, 'value': 0.27}, {'date': 1747872000, 'value': 0.29}, {'date': 1747958400, 'value': 0.29}, {'date': 1748044800, 'value': 0.32}, {'date': 1748131200, 'value': 0.32}, {'date': 1748217600, 'value': 0.34}, {'date': 1748304000, 'value': 0.42}, {'date': 1748390400, 'value': 0.46}, {'date': 1748476800, 'value': 0.81}, {'date': 1748563200, 'value': 1}]",[],3277,24365460,8,1.0,3
1613583643201538,ejenalicia,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 25000000000, 'value': 'Games', 'label': 'label_25000000000'}","[{'date': 1746057600, 'value': 0.06}, {'date': 1746144000, 'value': 0.16}, {'date': 1746230400, 'value': 0.2}, {'date': 1746316800, 'value': 0.18}, {'date': 1746403200, 'value': 0.15}, {'date': 1746489600, 'value': 0.12}, {'date': 1746576000, 'value': 0.08}, {'date': 1746662400, 'value': 0.09}, {'date': 1746748800, 'value': 0.11}, {'date': 1746835200, 'value': 0.11}, {'date': 1746921600, 'value': 0.13}, {'date': 1747008000, 'value': 0.15}, {'date': 1747094400, 'value': 0.14}, {'date': 1747180800, 'value': 0.12}, {'date': 1747267200, 'value': 0.1}, {'date': 1747353600, 'value': 0.08}, {'date': 1747440000, 'value': 0.15}, {'date': 1747526400, 'value': 0.14}, {'date': 1747612800, 'value': 0.21}, {'date': 1747699200, 'value': 0.19}, {'date': 1747785600, 'value': 0.28}, {'date': 1747872000, 'value': 0.5}, {'date': 1747958400, 'value': 0.51}, {'date': 1748044800, 'value': 0.6}, {'date': 1748131200, 'value': 0.82}, {'date': 1748217600, 'value': 1}, {'date': 1748304000, 'value': 0.82}, {'date': 1748390400, 'value': 0.67}, {'date': 1748476800, 'value': 0.72}, {'date': 1748563200, 'value': 0.97}]",[],1846,60231270,9,1.0,3
765345,asean,"{'id': 'MY', 'value': 'Malaysia', 'label': 'MY'}","{'id': 28000000000, 'value': 'Sports & Outdoor', 'label': 'label_28000000000'}","[{'date': 1746057600, 'value': 0.19}, {'date': 1746144000, 'value': 0.15}, {'date': 1746230400, 'value': 0.16}, {'date': 1746316800, 'value': 0.12}, {'date': 1746403200, 'value': 0.13}, {'date': 1746489600, 'value': 0.14}, {'date': 1746576000, 'value': 0.15}, {'date': 1746662400, 'value': 0.26}, {'date': 1746748800, 'value': 0.2}, {'date': 1746835200, 'value': 0.17}, {'date': 1746921600, 'value': 0.18}, {'date': 1747008000, 'value': 0.15}, {'date': 1747094400, 'value': 0.15}, {'date': 1747180800, 'value': 0.15}, {'date': 1747267200, 'value': 0.2}, {'date': 1747353600, 'value': 0.19}, {'date': 1747440000, 'value': 0.19}, {'date': 1747526400, 'value': 0.21}, {'date': 1747612800, 'value': 0.23}, {'date': 1747699200, 'value': 0.31}, {'date': 1747785600, 'value': 0.33}, {'date': 1747872000, 'value': 0.4}, {'date': 1747958400, 'value': 0.46}, {'date': 1748044800, 'value': 0.48}, {'date': 1748131200, 'value': 0.37}, {'date': 1748217600, 'value': 0.46}, {'date': 1748304000, 'value': 0.64}, {'date': 1748390400, 'value': 0.72}, {'date': 1748476800, 'value': 1}, {'date': 1748563200, 'value': 0.93}]",[],2349,41655823,10,0.0,2
