Unnamed: 0,comment,cost,cpa,ctr,cvr,impression,keyword,like,play_six_rate,post_change,share,video_list
0,371,11400,3.03,5.18,3.68,4350000,beg,19352,16.54,97.44,993,"['7464987751994248455', '7507152189157166352', '7506074263795830033', '7505614865252502802', '7507890308143729938']"
1,287,5240,2.45,2.65,3.69,4750000,lelaki,15453,12.29,87.17,705,"['7502414780041334023', '7501367023977483528', '7500933679812742408', '7505223490597899536', '7501718537308753159']"
2,147,4130,1.56,5.39,5.61,2060000,seluar,7307,13.29,92.51,264,"['7457008550712298759', '7484239994811387143', '7497501226280520967', '7492329029375118599', '7502279969641417992']"
3,220,8170,2.19,4.09,4.93,4050000,baju,14163,13.48,93.93,1172,"['7502660248822500615', '7506091170959822096', '7505671367505874194', '7505223490597899536', '7501551945660828946']"
4,77,2740,2.43,5.71,2.9,1570000,kasut,5299,15.48,97.88,256,"['7476754450632199444', '7243552694722383106', '7489225525865532693', '7497296179835882807', '7483505320422149384']"
5,134,4000,2.44,4.57,4.57,1670000,bag,22652,16.56,96.6,287,"['7504173736703151378', '7163243893964754203', '7462666425216421128', '7437443554902904071', '7499299187427757330']"
6,312,12100,4.72,1.94,4.32,6730000,diskaun 50%,12734,12.57,97.59,2120,"['7506207027207687440', '7509446086990368007', '7496079385674485010', '7509125019499367700', '7509132923946274056']"
7,1127,32400,3.95,3.51,4.17,12600000,beg kuning,41764,15.63,92.06,2727,"['7457904097497304328', '7455221008702770450', '7362759709591489813', '7496693532334230802', '7262498053268000001']"
8,90,3500,4.46,3.11,1.44,3960000,watch,11555,8.05,93.25,264,"['7501367023977483528', '7491592818616536328', '7503986623302946066', '7500933679812742408', '7501719120002419986']"
9,331,4040,3.0,2.44,4.74,2570000,cod,14353,14.78,80.8,642,"['7506101785510055186', '7507133079044066567', '7504916828347567366', '7505274624163302674', '7494164792656121093']"
10,54,2190,3.22,3.54,2.3,1710000,women,3851,8.7,88.73,173,"['7501719120002419986', '7496512302309592327', '7501718248707116295', '7368792545712803073', '7219632016533343494']"
11,56,1600,3.05,4.81,3.23,724000,shoe,2236,14.16,94.8,151,"['7505048424471858439', '7508351284651691271', '7503387649466502407', '7401039925526695175', '7475180706008714503']"
12,127,2240,2.74,5.57,3.42,901000,lampu,4475,19.5,90.52,261,"['7504220256899042567', '7446727276747590930', '7495987919610596615', '7502362754339163410', '7501917988396748050']"
13,111,2170,1.55,5.08,5.11,1200000,tudung,3955,23.06,96.04,286,"['7484083948268670216', '7464915528923106567', '7402250540278664456', '7503799712907152648', '7406517854666886408']"
14,52,1520,3.08,4.77,3.34,653000,shoes,2057,14.51,93.95,144,"['7505048424471858439', '7508351284651691271', '7503387649466502407', '7401039925526695175', '7475180706008714503']"
15,132,3720,3.1,3.86,4.75,1520000,stainless steel,4258,18.59,90.93,370,"['7467972551994641682', '7469380905648409863', '7484094929967287559', '7483816204566646023', '7309324637438004488']"
16,67,1680,1.7,6.61,2.75,1170000,kipas,3008,17.35,87.32,169,"['7508703765264895249', '7501521198124158216', '7500552233268841746', '7441046269935635730', '7503121152336743698']"
17,67,1680,1.7,6.62,2.75,1170000,kipa,3007,17.35,87.22,168,"['7508703765264895249', '7501521198124158216', '7500552233268841746', '7441046269935635730', '7503121152336743698']"
