desc,create_time,author_user_id,music_author,music_title,music_create_time,music_duration,music_id,collect_count,comment_count,digg_count,forward_count,play_count,share_count,video_url
"Safe, convenient and mak-mak friendly?!🫨 AYE, that’s right! With Samsung Wallet, skip the hassle of finding your cards and fumbling through bulky wallets 😏 Just swipe up, tap and pay, all from your Galaxy A Series. Shop the new Galaxy A56 | A36 5G to enjoy up to RM329 worth of rewards! Ends 31 May 2025. T&Cs apply. #KitaPilihAYE #AwesomeIntelligence",1746612007,7057336297317319707,Samsung Malaysia,original sound - samsungmalaysia,1746612017.0,64.0,7501641436417362693,3763.0,299.0,35786.0,0.0,52057664.0,2635.0,https://www.tiktok.com/@mnm_pipi/video/7501641419518528774
,,,,,,,,,,,,,,https://www.tiktok.com/@mnm_pipi/video/7507452740264578322
"Kadang-kadang rasa kecewa kan bila barang yang kita order tak sama macam yang sampai?  Tapi jangan risau, sekarang TikTok Shop dah buatkan proses pemulangan barang jadi super mudah!  Boleh return barang dengan senang, percuma pulak tu! So, lepas ni boleh shopping tanpa risau! Jangan takut nak beli, sebab kalau ada masalah, TikTok Shop dah bantu selesaikan.  #TikTokShopMy",1744179623,7148386175531058182,tiktokshop_my 🇲🇾,original sound - tiktokshop_my,1744179634.0,33.0,7491194478741441296,1451.0,690.0,25190.0,0.0,44239447.0,2119.0,https://www.tiktok.com/@mnm_pipi/video/7491194398345104656
"Rejection itu normal dalam kehidupan, sama juga dengan dengan return barangan dekat TikTok Shop. Tapi yang best nya kalau korang kena reject untuk return, korang boleh berhubung dengan agen kami, kami akan bantu korang dengan senang hati. Macam mana nak buat? Ni.. kami dah sediakan cara-cara untuk korang buat rayuan seandainya barangan return korang kena reject.. dah jangan bersedih okay 😉. Selamat Mencuba. #TikTokShopMy",1745472600,7148386175531058182,tiktokshop_my 🇲🇾,original sound - tiktokshop_my,1745466967.0,35.0,7496723533997886225,1353.0,423.0,18642.0,0.0,43807309.0,1341.0,https://www.tiktok.com/@mnm_pipi/video/7496723450644450577
"Semudah ABC je nak batalkan pesanan dekat TikTok Shop.  Kadang-kadang terbeli ikut nafsu tu normal lah, manusia kan, tak lari dari silap. Tapi jangan risau, kitorang dah ajar cara cancel & dapatkan refund semula.. Selamat mencuba!  #TikTokShopMy",1744861095,7148386175531058182,tiktokshop_my 🇲🇾,original sound - tiktokshop_my,1744861103.0,26.0,7494121366921153297,1665.0,488.0,20285.0,0.0,42231855.0,1896.0,https://www.tiktok.com/@mnm_pipi/video/7494121317369728263
"Rekaan yang nipis dan ringan, material yang tahan lasak #HUAWEILaunch #HUAWEIWATCHFIT4Pro #HUAWEIMY",1747323372,6815758082208531457,HUAWEI Malaysia,original sound - huaweimobilemy,1747323376.0,6.0,7504696751832435472,4708.0,238.0,81003.0,0.0,34664872.0,2403.0,https://www.tiktok.com/@mnm_pipi/video/7504696722300407058
,,,,,,,,,,,,,,https://www.tiktok.com/@mnm_pipi/video/7496412288711249159
#BlockBlast 📲🦭,1745690985,7362666808937415688,kori,kori,1745690989.0,35.0,7497685696774441744,2201505.0,309127.0,38503346.0,0.0,1001498208.0,9739382.0,https://www.tiktok.com/@mnm_pipi/video/7497685667518926088
phone case inspo ❤️🦋🎀 #temufinds #phonecases,1739785071,7277133862680527915,temu_techfinds,original sound - temu_techfinds,1739785074.0,17.0,7472319877848599338,25521.0,9582.0,418805.0,0.0,262711052.0,17255.0,https://www.tiktok.com/@mnm_pipi/video/7472319430572182826
"KitKat® Dark Borneo, nikmati kelazatan biji koko asli dari borneo dengan sentuhan rasa buah-buahan! #KITKATMalaysia #HaveABreakHaveAKITKAT #KITKATDarkBorneo ",1745484973,7337490706539529218,KitKat® Malaysia Official,original sound - kitkatmalaysia,1745484979.0,6.0,7496800899184986897,3470.0,211.0,30750.0,0.0,29627019.0,1963.0,https://www.tiktok.com/@mnm_pipi/video/7496800861931392263
Nak power macam saya? Makan dulu biskut MILO sebelum masuk court. 🏸  Tenaga MILO kini dalam biskut ⚡️💚 #MyMILOBiscuit #biskutMILO #MILO,1746701678,6754075335262585857,insta: sitisolehahzf 🍊,original sound - sitisolehahzf,1746701696.0,32.0,7502026654743530257,10776.0,271.0,150816.0,0.0,24058437.0,3589.0,https://www.tiktok.com/@mnm_pipi/video/7502026563614002440
"Kalau tak buat, mana tau kan? Inilah tip2 daripada Kak Sue kalau korang nak start somewhere in business. And kepada orang yang cakap internet aku lag, tak payah nak complain dah sebab semua thanks to CelcomDigi Business 5G Wifi 💁‍♀️ #Celcomdigibusiness #CelcomDigi #BusinessTips",1741071416,177746676785369088,𝘿𝙞𝙢𝙚𝙣𝙨𝙞𝙑𝙞𝙗𝙚𝙨🎧,perayaan mati rasa,1712865581.0,103.0,7356701636116876037,2070.0,78.0,28646.0,0.0,40215034.0,907.0,https://www.tiktok.com/@mnm_pipi/video/7477844770799291655
